antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len
"frozenset({'24', '34', '22'})","frozenset({'31', '7'})",0.002328288707799767,0.012805587892898719,0.002328288707799767,1.0,78.0909090909091,0.0022984736021119936,inf,3,2
"frozenset({'34', '31', '7'})","frozenset({'24', '22'})",0.002328288707799767,0.012805587892898719,0.002328288707799767,1.0,78.0909090909091,0.0022984736021119936,inf,3,2
"frozenset({'26', '16', '31'})","frozenset({'43', '36'})",0.002328288707799767,0.012805587892898719,0.002328288707799767,1.0,78.0909090909091,0.0022984736021119936,inf,3,2
"frozenset({'24', '31', '22'})","frozenset({'34', '7'})",0.002328288707799767,0.013969732246798603,0.002328288707799767,1.0,71.58333333333333,0.0022957631379585597,inf,3,2
"frozenset({'14', '26', '21'})","frozenset({'18', '15'})",0.002328288707799767,0.013969732246798603,0.002328288707799767,1.0,71.58333333333333,0.0022957631379585597,inf,3,2
"frozenset({'34', '36', '10'})","frozenset({'22', '44'})",0.002328288707799767,0.013969732246798603,0.002328288707799767,1.0,71.58333333333333,0.0022957631379585597,inf,3,2
"frozenset({'24', '20', '15'})","frozenset({'12', '30'})",0.002328288707799767,0.013969732246798603,0.002328288707799767,1.0,71.58333333333333,0.0022957631379585597,inf,3,2
"frozenset({'43', '26', '16'})","frozenset({'36', '31'})",0.002328288707799767,0.013969732246798603,0.002328288707799767,1.0,71.58333333333333,0.0022957631379585597,inf,3,2
"frozenset({'43', '36', '16'})","frozenset({'26', '31'})",0.002328288707799767,0.015133876600698487,0.002328288707799767,1.0,66.07692307692308,0.0022930526738051257,inf,3,2
"frozenset({'34', '10', '22'})","frozenset({'36', '44'})",0.002328288707799767,0.01629802095459837,0.002328288707799767,1.0,61.35714285714286,0.0022903422096516917,inf,3,2
"frozenset({'36', '11', '26'})","frozenset({'17', '21'})",0.002328288707799767,0.01629802095459837,0.002328288707799767,1.0,61.35714285714286,0.0022903422096516917,inf,3,2
"frozenset({'43', '13', '26'})","frozenset({'14', '40'})",0.002328288707799767,0.017462165308498253,0.002328288707799767,1.0,57.26666666666667,0.002287631745498258,inf,3,2
"frozenset({'13', '26', '40'})","frozenset({'43', '14'})",0.002328288707799767,0.017462165308498253,0.002328288707799767,1.0,57.26666666666667,0.002287631745498258,inf,3,2
"frozenset({'12', '20', '15'})","frozenset({'24', '30'})",0.002328288707799767,0.017462165308498253,0.002328288707799767,1.0,57.26666666666667,0.002287631745498258,inf,3,2
"frozenset({'22', '31', '7'})","frozenset({'24', '34'})",0.002328288707799767,0.017462165308498253,0.002328288707799767,1.0,57.26666666666667,0.002287631745498258,inf,3,2
"frozenset({'31', '45', '6'})","frozenset({'38', '18'})",0.002328288707799767,0.017462165308498253,0.002328288707799767,1.0,57.26666666666667,0.002287631745498258,inf,3,2
"frozenset({'24', '31', '7'})","frozenset({'34', '22'})",0.002328288707799767,0.017462165308498253,0.002328288707799767,1.0,57.26666666666667,0.002287631745498258,inf,3,2
"frozenset({'45', '6', '18'})","frozenset({'38', '31'})",0.002328288707799767,0.017462165308498253,0.002328288707799767,1.0,57.26666666666667,0.002287631745498258,inf,3,2
"frozenset({'14', '30', '40'})","frozenset({'31', '27'})",0.002328288707799767,0.018626309662398137,0.002328288707799767,1.0,53.6875,0.002284921281344824,inf,3,2
"frozenset({'36', '26', '16'})","frozenset({'43', '31'})",0.002328288707799767,0.018626309662398137,0.002328288707799767,1.0,53.6875,0.002284921281344824,inf,3,2
"frozenset({'12', '30', '15'})","frozenset({'24', '20'})",0.002328288707799767,0.020954598370197905,0.002328288707799767,1.0,47.72222222222222,0.002279500353037956,inf,3,2
"frozenset({'14', '13', '40'})","frozenset({'43', '26'})",0.002328288707799767,0.02211874272409779,0.002328288707799767,1.0,45.21052631578947,0.002276789888884522,inf,3,2
"frozenset({'21', '44', '19'})","frozenset({'34', '15'})",0.002328288707799767,0.024447031431897557,0.002328288707799767,1.0,40.904761904761905,0.002271368960577654,inf,3,2
"frozenset({'43', '13', '40'})","frozenset({'14', '26'})",0.002328288707799767,0.025611175785797437,0.002328288707799767,1.0,39.04545454545455,0.00226865849642422,inf,3,2
"frozenset({'30', '20', '15'})","frozenset({'24', '12'})",0.002328288707799767,0.027939464493597205,0.002328288707799767,1.0,35.791666666666664,0.002263237568117352,inf,3,2
"frozenset({'38', '43', '32'})",frozenset({'9'}),0.002328288707799767,0.10360884749708964,0.002328288707799767,1.0,9.651685393258427,0.002087057398144145,inf,3,1
"frozenset({'23', '35', '18'})",frozenset({'9'}),0.002328288707799767,0.10360884749708964,0.002328288707799767,1.0,9.651685393258427,0.002087057398144145,inf,3,1
"frozenset({'17', '14', '33'})",frozenset({'9'}),0.002328288707799767,0.10360884749708964,0.002328288707799767,1.0,9.651685393258427,0.002087057398144145,inf,3,1
"frozenset({'28', '23', '7'})",frozenset({'9'}),0.002328288707799767,0.10360884749708964,0.002328288707799767,1.0,9.651685393258427,0.002087057398144145,inf,3,1
"frozenset({'34', '36', '10'})",frozenset({'22'}),0.002328288707799767,0.10710128055878929,0.002328288707799767,1.0,9.33695652173913,0.002078926005683843,inf,3,1
